username,timestamp,activity_type,source_ip,location,result
user_869,2025-01-27 23:02:05,login,8.183.223.92,Australia,success
user_456,2025-01-17 19:01:05,database_access,62.24.62.246,Japan,success
user_301,2025-01-14 00:51:48,logout,177.7.8.93,Japan,failed
user_539,2025-01-21 16:25:14,database_access,74.48.157.205,Egypt,success
user_210,2025-01-09 06:26:11,logout,22.202.62.33,Germany,failed
user_4,2025-01-05 14:35:01,login,153.53.212.249,Japan,success
user_124,2025-01-17 16:18:31,logout,222.215.149.196,USA,success
user_553,2025-01-06 14:41:21,logout,230.166.241.88,Japan,failed
user_457,2025-01-13 15:05:38,login,30.36.192.190,Japan,failed
user_515,2025-01-04 22:58:00,file_access,180.35.55.141,Germany,success
user_748,2025-01-12 13:46:16,file_access,27.92.148.234,Germany,success
user_588,2025-01-26 02:13:21,file_access,213.169.26.123,Japan,success
user_231,2025-01-17 16:45:13,database_access,203.116.111.81,Australia,success
user_757,2025-01-21 18:12:05,logout,46.136.9.92,Egypt,failed
user_163,2025-01-21 02:37:55,file_access,104.9.128.99,USA,failed
user_326,2025-01-17 10:45:42,file_access,178.59.106.241,Australia,failed
user_644,2025-01-02 20:40:18,permission_change,156.211.45.206,Australia,success
user_992,2025-01-28 13:59:44,database_access,39.196.194.132,Australia,success
user_862,2025-01-16 11:29:56,logout,63.129.140.122,Egypt,failed
user_544,2025-01-08 09:12:52,database_access,70.58.134.217,Canada,failed
user_901,2025-01-15 03:51:38,file_access,143.206.123.175,Egypt,failed
user_474,2025-01-15 12:19:37,logout,180.162.224.39,USA,success
user_56,2025-01-10 15:30:17,permission_change,157.29.159.133,Japan,failed
user_527,2025-01-14 02:31:18,database_access,242.80.133.44,Canada,success
user_185,2025-01-08 09:44:22,permission_change,121.75.192.207,Canada,success
user_506,2025-01-04 12:49:47,login,244.230.48.248,USA,success
user_124,2025-01-10 06:00:20,permission_change,247.184.127.182,USA,success
user_277,2025-01-09 06:44:58,logout,43.113.28.60,Germany,failed
user_251,2025-01-24 07:00:55,logout,172.139.171.134,Egypt,success
user_581,2025-01-13 21:33:23,database_access,253.194.50.142,Japan,failed
user_843,2025-01-14 17:16:09,permission_change,31.135.52.204,Egypt,failed
user_817,2025-01-20 17:56:21,database_access,73.139.158.104,Australia,success
user_640,2025-01-14 18:49:40,file_access,249.182.248.232,Australia,failed
user_445,2025-01-19 00:21:06,login,224.68.64.119,Egypt,failed
user_486,2025-01-09 08:59:57,logout,181.28.190.32,Japan,failed
user_281,2025-01-14 08:04:40,logout,120.211.23.54,Germany,success
user_59,2025-01-14 17:52:08,logout,190.212.245.149,Japan,success
user_958,2025-01-04 19:12:03,database_access,190.36.180.192,Egypt,failed
user_319,2025-01-21 15:29:56,login,55.213.225.56,USA,success
user_631,2025-01-26 05:51:11,permission_change,15.134.7.73,Germany,success
user_800,2025-01-01 08:26:13,database_access,143.135.161.112,Egypt,success
user_318,2025-01-01 18:13:54,logout,215.43.6.2,Canada,failed
user_767,2025-01-02 13:50:03,database_access,157.105.89.99,Germany,success
user_877,2025-01-04 22:04:23,logout,150.128.243.50,Egypt,failed
user_87,2025-01-20 21:19:15,permission_change,206.253.180.50,Egypt,success
user_889,2025-01-15 09:22:07,logout,208.208.56.21,Japan,failed
user_363,2025-01-06 19:46:04,permission_change,119.35.25.195,Japan,success
user_362,2025-01-08 06:21:57,file_access,34.244.193.179,Germany,failed
user_592,2025-01-01 02:51:04,login,159.29.75.166,Australia,failed
user_794,2025-01-18 03:34:46,permission_change,104.227.233.111,Canada,success
user_940,2025-01-28 18:31:19,login,122.114.194.65,USA,success
user_299,2025-01-02 18:17:50,login,187.253.220.131,Australia,success
user_328,2025-01-21 06:58:56,database_access,89.246.164.211,Australia,failed
user_809,2025-01-23 08:42:59,database_access,233.30.92.18,Japan,failed
user_695,2025-01-22 10:48:27,login,48.20.159.152,Germany,failed
user_512,2025-01-01 19:12:09,permission_change,227.176.139.178,Japan,success
user_231,2025-01-07 09:19:35,database_access,35.232.233.15,Australia,failed
user_143,2025-01-23 02:00:51,logout,157.17.201.9,Canada,failed
user_153,2025-01-30 17:23:07,permission_change,47.20.68.171,Germany,success
user_496,2025-01-16 17:50:57,database_access,46.100.53.217,Japan,success
user_839,2025-01-09 08:00:40,permission_change,97.4.120.62,Japan,success
user_438,2025-01-01 14:00:48,database_access,243.90.182.103,USA,failed
user_32,2025-01-19 22:21:21,permission_change,120.160.141.95,Japan,success
user_801,2025-01-17 22:00:25,login,3.5.134.40,Egypt,success
user_549,2025-01-13 12:42:44,file_access,24.111.73.245,Australia,failed
user_76,2025-01-30 22:11:37,database_access,251.185.123.242,Japan,success
user_679,2025-01-24 03:36:02,database_access,51.79.52.23,USA,failed
user_47,2025-01-02 18:03:26,database_access,87.252.8.109,Australia,failed
user_13,2025-01-29 13:25:02,permission_change,64.116.215.61,Egypt,success
user_916,2025-01-29 02:12:35,permission_change,14.93.7.113,Australia,success
user_328,2025-01-11 17:06:05,file_access,232.153.239.13,Australia,failed
user_68,2025-01-13 09:24:37,database_access,121.7.175.197,Canada,failed
user_273,2025-01-24 15:00:54,logout,90.80.24.17,Egypt,success
user_383,2025-01-21 19:13:04,file_access,149.102.73.44,Canada,success
user_219,2025-01-28 21:06:28,login,90.38.115.182,Egypt,failed
user_783,2025-01-29 00:18:10,permission_change,6.197.131.230,Egypt,success
user_340,2025-01-28 22:53:43,login,204.14.214.12,Canada,success
user_243,2025-01-17 13:07:28,database_access,36.233.199.127,USA,failed
user_554,2025-01-14 04:28:17,permission_change,57.57.33.44,Egypt,success
user_220,2025-01-19 08:46:07,permission_change,214.224.127.128,USA,failed
user_654,2025-01-20 03:12:04,permission_change,130.164.103.155,Australia,success
user_616,2025-01-10 06:23:21,logout,88.125.227.249,Australia,failed
user_666,2025-01-23 06:33:13,logout,252.7.25.17,Canada,failed
user_9,2025-01-21 10:28:17,permission_change,76.31.90.141,Egypt,success
user_460,2025-01-22 10:04:12,login,93.188.254.231,Canada,success
user_9,2025-01-02 17:56:46,database_access,75.48.236.253,Japan,failed
user_500,2025-01-04 06:03:05,permission_change,61.165.107.242,Germany,failed
user_640,2025-01-19 02:58:21,file_access,20.97.48.109,Australia,failed
user_701,2025-01-25 08:55:37,permission_change,26.61.201.140,Japan,success
user_989,2025-01-16 12:43:44,login,18.127.96.4,Australia,failed
user_499,2025-01-01 23:47:07,database_access,234.243.148.46,Japan,success
user_714,2025-01-07 07:13:02,database_access,2.32.174.61,Canada,success
user_281,2025-01-11 23:36:29,permission_change,241.156.136.79,Australia,success
user_35,2025-01-17 14:07:32,login,185.43.29.42,USA,failed
user_623,2025-01-08 03:10:22,permission_change,210.65.201.20,Germany,failed
user_403,2025-01-30 09:32:51,database_access,59.171.97.8,Egypt,success
user_991,2025-01-15 02:06:14,logout,206.88.234.210,Australia,failed
user_485,2025-01-01 12:34:20,login,67.13.47.104,Japan,success
user_114,2025-01-29 15:22:07,logout,210.235.139.95,USA,success
user_904,2025-01-28 18:23:15,logout,134.188.245.224,Egypt,failed
user_602,2025-01-04 14:49:20,permission_change,85.117.248.209,Australia,success
user_967,2025-01-11 06:33:20,file_access,203.235.251.2,Australia,failed
user_428,2025-01-27 00:06:33,file_access,82.47.45.70,Egypt,success
user_657,2025-01-24 14:47:47,login,180.158.148.239,Japan,failed
user_575,2025-01-22 05:29:27,login,71.115.89.237,Canada,failed
user_245,2025-01-14 21:53:59,database_access,132.75.248.124,Egypt,success
user_391,2025-01-09 02:11:41,permission_change,126.197.132.210,Egypt,success
user_658,2025-01-20 16:26:28,file_access,89.15.41.0,Japan,failed
user_613,2025-01-11 11:23:57,logout,58.15.222.167,Germany,success
user_640,2025-01-20 03:50:21,permission_change,248.62.245.90,Australia,success
user_474,2025-01-05 22:41:55,database_access,89.36.35.233,Germany,success
user_663,2025-01-28 01:42:36,database_access,124.30.81.224,Egypt,success
user_930,2025-01-15 21:57:13,database_access,222.216.213.142,Japan,failed
user_849,2025-01-13 17:01:51,login,71.9.243.225,Germany,success
user_490,2025-01-18 22:56:38,login,13.197.35.241,Egypt,failed
user_703,2025-01-12 21:46:12,database_access,48.13.19.36,Australia,failed
user_252,2025-01-07 23:38:24,database_access,194.134.75.90,Australia,success
user_834,2025-01-25 20:10:14,file_access,167.141.143.240,USA,success
user_62,2025-01-26 00:01:40,permission_change,71.121.165.171,Germany,failed
user_578,2025-01-25 17:17:03,logout,130.77.141.63,Egypt,failed
user_114,2025-01-02 11:02:02,file_access,119.96.190.2,Egypt,failed
user_641,2025-01-09 14:11:16,logout,215.122.41.49,Australia,success
user_953,2025-01-21 13:21:05,database_access,47.95.48.53,Canada,success
user_7,2025-01-20 16:31:41,permission_change,192.23.11.50,Egypt,success
user_160,2025-01-01 14:37:51,login,194.73.205.252,Canada,failed
user_700,2025-01-16 16:48:03,permission_change,25.206.229.219,Germany,failed
user_489,2025-01-13 17:08:56,database_access,179.187.20.237,Egypt,failed
user_818,2025-01-27 16:18:45,permission_change,204.233.205.55,Australia,success
user_73,2025-01-11 20:35:43,database_access,246.60.255.19,Japan,failed
user_130,2025-01-14 19:33:02,permission_change,112.175.73.53,Canada,failed
user_943,2025-01-08 08:09:33,file_access,30.56.9.104,USA,success
user_153,2025-01-07 08:46:15,file_access,158.2.54.44,Germany,success
user_563,2025-01-19 16:14:45,permission_change,255.192.218.164,USA,failed
user_210,2025-01-13 00:12:35,permission_change,194.177.104.37,Egypt,failed
user_442,2025-01-25 11:49:23,logout,37.201.55.13,Germany,success
user_735,2025-01-23 04:18:53,file_access,144.138.229.151,Australia,failed
user_657,2025-01-20 03:47:54,logout,183.22.231.10,Canada,failed
user_816,2025-01-05 04:03:25,login,166.117.152.146,Japan,success
user_532,2025-01-09 09:43:17,file_access,182.187.116.79,Canada,success
user_730,2025-01-16 07:34:11,file_access,51.132.217.223,Canada,success
user_903,2025-01-08 20:20:17,permission_change,1.242.3.177,Germany,success
user_484,2025-01-03 13:43:11,permission_change,213.100.99.234,Germany,success
user_81,2025-01-05 07:48:54,database_access,203.65.224.212,USA,success
user_184,2025-01-21 19:56:03,logout,136.202.32.89,Germany,failed
user_977,2025-01-19 02:08:56,database_access,217.207.53.249,Canada,failed
user_183,2025-01-22 23:35:27,login,165.236.77.160,USA,success
user_726,2025-01-29 08:45:10,permission_change,90.136.93.217,Germany,failed
user_147,2025-01-08 07:48:15,logout,160.198.155.215,Australia,success
user_777,2025-01-07 06:55:17,database_access,47.17.119.56,Japan,failed
user_310,2025-01-24 08:09:01,login,128.146.143.75,Egypt,failed
user_503,2025-01-25 08:07:19,database_access,96.77.92.66,Egypt,failed
user_118,2025-01-16 06:54:50,file_access,158.245.56.27,USA,failed
user_423,2025-01-17 22:03:25,logout,222.200.163.203,Japan,success
user_501,2025-01-21 09:53:12,login,23.61.204.8,Germany,failed
user_333,2025-01-29 15:39:08,database_access,207.209.109.104,Egypt,failed
user_665,2025-01-29 13:52:19,file_access,172.70.223.51,Australia,failed
user_850,2025-01-20 16:17:32,database_access,204.95.178.27,USA,success
user_54,2025-01-09 22:41:50,permission_change,99.151.12.79,Germany,failed
user_760,2025-01-01 21:11:56,file_access,168.10.37.124,Egypt,success
user_464,2025-01-12 06:51:26,login,255.225.216.216,Australia,success
user_445,2025-01-19 14:53:51,login,222.76.200.41,Australia,success
user_764,2025-01-02 22:18:52,file_access,73.137.193.252,Egypt,success
user_804,2025-01-24 11:25:00,permission_change,238.10.138.184,Germany,failed
user_300,2025-01-29 10:38:02,logout,218.178.253.21,Canada,success
user_454,2025-01-01 08:35:20,permission_change,81.203.119.28,Canada,success
user_818,2025-01-26 13:58:08,database_access,223.254.113.113,Japan,success
user_898,2025-01-11 04:06:40,login,173.35.139.237,USA,success
user_813,2025-01-08 06:13:29,file_access,60.104.109.119,Canada,success
user_431,2025-01-17 17:04:51,login,78.94.155.22,Canada,success
user_219,2025-01-03 16:42:06,logout,8.5.211.253,Canada,failed
user_213,2025-01-25 20:38:14,logout,119.191.14.25,Canada,failed
user_497,2025-01-19 18:06:26,logout,92.62.148.8,USA,failed
user_74,2025-01-25 22:09:27,login,203.196.10.73,USA,success
user_879,2025-01-11 09:07:46,logout,226.202.153.84,Japan,success
user_710,2025-01-10 18:30:06,login,188.192.200.127,Egypt,failed
user_513,2025-01-16 07:12:21,file_access,37.126.67.184,Canada,success
user_248,2025-01-24 22:09:39,logout,161.247.156.213,Egypt,failed
user_194,2025-01-03 18:59:54,logout,182.162.143.103,USA,success
user_886,2025-01-18 14:49:09,login,138.50.207.41,Germany,failed
user_596,2025-01-12 08:09:22,file_access,56.150.144.47,Egypt,success
user_704,2025-01-23 02:57:43,database_access,65.56.252.153,Canada,success
user_916,2025-01-11 14:43:30,logout,236.81.157.207,Germany,failed
user_279,2025-01-13 09:32:25,permission_change,66.0.19.235,Germany,success
user_390,2025-01-06 16:11:38,logout,168.10.86.192,Japan,success
user_975,2025-01-25 15:23:55,login,108.204.83.234,Australia,failed
user_859,2025-01-12 04:09:22,file_access,68.246.39.167,USA,failed
user_906,2025-01-26 10:55:27,permission_change,84.88.213.57,USA,success
user_461,2025-01-26 07:44:59,database_access,92.97.147.151,Egypt,failed
user_980,2025-01-25 01:31:25,permission_change,2.183.183.169,Japan,failed
user_831,2025-01-28 05:48:51,file_access,237.117.94.210,USA,failed
user_778,2025-01-11 07:28:50,permission_change,134.19.126.41,Egypt,success
user_814,2025-01-14 14:44:06,logout,38.218.152.156,USA,success
user_734,2025-01-23 08:48:17,login,81.162.198.103,Egypt,failed
user_448,2025-01-15 22:36:09,login,90.79.211.8,Canada,failed
user_532,2025-01-23 18:22:39,permission_change,121.148.242.137,Canada,failed
user_14,2025-01-04 10:41:48,logout,241.214.195.14,Canada,success
user_53,2025-01-08 15:27:01,database_access,180.156.198.49,Germany,success
user_963,2025-01-14 01:52:37,permission_change,88.81.192.128,USA,success
user_693,2025-01-11 22:57:44,database_access,196.39.244.27,Canada,failed
user_174,2025-01-11 06:10:08,login,201.72.19.10,Japan,failed
user_172,2025-01-16 18:28:13,login,137.96.143.215,Japan,failed
user_931,2025-01-11 16:37:39,file_access,133.153.244.56,Egypt,success
user_130,2025-01-30 09:59:46,permission_change,51.203.37.173,Canada,success
user_655,2025-01-24 14:27:28,login,237.193.157.235,USA,failed
user_552,2025-01-09 19:57:40,file_access,167.98.155.98,Canada,success
user_599,2025-01-12 12:29:15,permission_change,67.201.35.13,Egypt,failed
user_42,2025-01-11 12:07:09,permission_change,230.21.155.99,Egypt,failed
user_865,2025-01-01 04:27:57,login,204.136.32.31,Canada,failed
user_112,2025-01-16 10:33:42,file_access,251.170.178.75,USA,success
user_818,2025-01-30 10:23:43,logout,58.210.30.42,Germany,success
user_12,2025-01-20 01:32:58,login,115.128.51.30,USA,failed
user_387,2025-01-30 08:43:39,login,99.191.184.214,Germany,success
user_971,2025-01-03 22:29:05,logout,50.77.14.200,Australia,failed
user_975,2025-01-13 19:33:33,logout,3.21.57.107,Canada,success
user_458,2025-01-10 12:53:14,permission_change,82.12.28.69,Australia,failed
user_425,2025-01-28 21:38:38,database_access,216.102.169.193,Germany,failed
user_946,2025-01-01 19:34:08,logout,126.34.27.115,Germany,success
user_217,2025-01-05 11:02:24,file_access,168.224.237.119,Japan,success
user_89,2025-01-12 06:34:56,file_access,161.153.46.239,Japan,success
user_62,2025-01-17 19:14:56,database_access,62.166.241.127,Germany,success
user_462,2025-01-17 22:54:04,database_access,239.6.233.218,Egypt,failed
user_309,2025-01-29 23:33:54,logout,216.9.124.153,Egypt,success
user_818,2025-01-29 14:52:10,logout,165.108.235.187,USA,failed
user_557,2025-01-10 17:24:23,database_access,144.27.114.124,USA,failed
user_354,2025-01-11 01:52:00,file_access,31.187.175.194,Canada,success
user_610,2025-01-10 07:15:45,login,233.110.203.161,Egypt,failed
user_522,2025-01-13 18:42:23,login,29.176.183.63,USA,success
user_187,2025-01-08 07:53:58,permission_change,221.108.160.193,USA,success
user_337,2025-01-29 04:26:06,login,66.135.190.95,Australia,failed
user_828,2025-01-01 07:31:01,database_access,56.63.112.85,USA,success
user_317,2025-01-13 03:58:36,file_access,79.246.52.89,Japan,success
user_890,2025-01-16 21:15:24,permission_change,25.80.64.195,Japan,failed
user_9,2025-01-04 12:50:46,permission_change,24.91.136.104,Australia,success
user_296,2025-01-02 11:34:21,permission_change,119.76.78.156,Australia,failed
user_4,2025-01-05 01:40:11,permission_change,174.181.19.108,Egypt,failed
user_389,2025-01-20 21:04:08,database_access,97.160.63.83,Australia,failed
user_764,2025-01-05 20:08:27,file_access,93.188.255.105,Australia,success
user_642,2025-01-13 20:42:02,login,69.79.240.117,Japan,success
user_14,2025-01-21 09:06:56,file_access,91.0.234.96,Canada,failed
user_771,2025-01-21 07:05:37,permission_change,253.105.205.145,Japan,failed
user_171,2025-01-24 13:42:28,file_access,157.53.14.150,Germany,success
user_194,2025-01-28 14:55:37,login,76.151.85.172,Australia,success
user_505,2025-01-21 12:40:38,database_access,113.66.143.209,Germany,failed
user_87,2025-01-15 11:07:37,database_access,253.248.129.168,Canada,success
user_420,2025-01-05 15:03:34,logout,170.87.215.167,USA,failed
user_459,2025-01-11 20:49:51,permission_change,213.84.39.18,Canada,failed
user_459,2025-01-13 18:16:26,file_access,160.119.163.148,Japan,success
user_122,2025-01-28 10:38:37,permission_change,122.253.30.144,Japan,success
user_323,2025-01-14 06:41:23,file_access,40.131.217.213,USA,failed
user_979,2025-01-01 17:19:20,permission_change,242.42.13.65,USA,success
user_799,2025-01-07 23:37:43,login,140.56.244.60,Egypt,failed
user_436,2025-01-03 16:08:37,logout,166.109.78.118,USA,success
user_505,2025-01-01 00:47:10,file_access,224.118.187.229,Germany,success
user_51,2025-01-22 17:54:03,permission_change,64.198.113.128,Egypt,success
user_884,2025-01-05 21:00:43,login,104.239.117.83,Germany,failed
user_986,2025-01-18 13:07:19,logout,44.98.119.28,USA,success
user_859,2025-01-22 05:40:28,file_access,78.148.160.81,Japan,success
user_310,2025-01-17 22:48:30,database_access,231.229.81.180,Canada,failed
user_114,2025-01-10 06:39:00,database_access,229.240.184.153,Canada,success
user_299,2025-01-06 14:30:22,database_access,103.136.152.159,Japan,failed
user_452,2025-01-20 10:43:04,login,150.149.80.20,Japan,failed
user_16,2025-01-12 21:37:21,logout,176.237.245.53,Australia,success
user_557,2025-01-19 00:09:04,login,43.108.11.226,Egypt,failed
user_401,2025-01-30 10:16:44,permission_change,130.8.236.205,Japan,failed
user_523,2025-01-24 10:31:40,permission_change,239.131.165.5,Egypt,success
user_289,2025-01-22 14:04:38,logout,213.213.209.140,Japan,failed
user_355,2025-01-30 06:32:15,database_access,135.224.243.123,USA,success
user_324,2025-01-12 16:35:17,login,119.178.155.95,Egypt,success
user_36,2025-01-07 00:45:35,database_access,18.89.252.104,Egypt,success
user_391,2025-01-20 17:32:39,login,229.62.206.255,Germany,success
user_995,2025-01-25 06:01:16,file_access,196.6.164.9,Australia,success
user_370,2025-01-24 04:56:50,file_access,238.8.230.150,Egypt,success
user_869,2025-01-19 05:44:53,logout,54.9.50.168,USA,failed
user_709,2025-01-25 23:52:58,login,60.151.112.167,Canada,failed
user_817,2025-01-10 00:49:06,database_access,163.136.231.221,Japan,success
user_457,2025-01-24 07:19:47,permission_change,45.215.195.139,Germany,success
user_716,2025-01-19 17:45:10,logout,159.63.117.242,USA,failed
user_880,2025-01-22 20:44:41,file_access,163.169.96.35,Australia,success
user_479,2025-01-16 20:34:28,logout,249.65.50.15,Germany,success
user_135,2025-01-13 19:33:31,logout,1.13.232.85,Australia,failed
user_785,2025-01-01 20:14:29,logout,66.117.11.51,Australia,failed
user_872,2025-01-19 00:26:10,login,89.72.230.209,Australia,failed
user_620,2025-01-10 22:24:49,logout,68.173.87.119,Canada,failed
user_1,2025-01-05 12:22:50,logout,32.93.110.214,USA,success
user_961,2025-01-08 15:21:16,database_access,192.221.249.229,USA,success
user_298,2025-01-17 13:03:54,database_access,231.24.211.145,USA,success
user_970,2025-01-07 20:54:06,login,123.88.117.107,Japan,success
user_341,2025-01-04 10:43:32,permission_change,11.24.23.228,Germany,success
user_112,2025-01-12 20:24:07,login,111.0.218.231,Germany,failed
user_332,2025-01-12 02:06:43,permission_change,72.48.51.119,Japan,failed
user_321,2025-01-07 20:14:47,file_access,26.52.38.17,Egypt,failed
user_492,2025-01-06 02:58:24,permission_change,66.189.43.184,Australia,success
user_136,2025-01-26 05:07:40,logout,238.122.129.165,Germany,failed
user_141,2025-01-06 03:08:23,file_access,229.89.213.44,USA,success
user_991,2025-01-23 03:51:34,logout,229.71.36.199,Australia,failed
user_555,2025-01-24 09:17:39,database_access,58.90.55.206,Japan,success
user_156,2025-01-19 16:09:10,database_access,215.213.189.136,Germany,success
user_559,2025-01-29 20:12:52,file_access,132.87.103.231,Japan,success
user_999,2025-01-11 23:17:48,file_access,50.65.21.106,Egypt,success
user_121,2025-01-02 23:19:00,permission_change,162.16.1.231,Australia,success
user_186,2025-01-02 17:05:47,database_access,209.104.60.100,Japan,success
user_867,2025-01-11 13:02:44,permission_change,124.102.159.91,Egypt,success
user_253,2025-01-04 19:33:55,logout,17.201.56.197,Germany,success
user_772,2025-01-27 19:19:33,permission_change,83.182.206.193,Japan,failed
user_40,2025-01-25 22:32:01,logout,144.12.253.254,Egypt,success
user_117,2025-01-23 02:25:26,login,52.191.122.69,USA,failed
user_432,2025-01-12 03:49:31,file_access,11.206.220.236,Canada,success
user_344,2025-01-20 23:06:17,login,172.119.203.158,Canada,failed
user_514,2025-01-08 14:50:38,permission_change,210.105.18.2,Germany,success
user_341,2025-01-06 23:34:26,login,25.251.215.15,Canada,success
user_446,2025-01-21 04:05:27,login,156.255.118.174,USA,failed
user_116,2025-01-14 22:05:00,permission_change,142.69.158.182,Australia,failed
user_304,2025-01-26 13:19:21,database_access,91.111.85.110,Egypt,success
user_493,2025-01-16 12:20:34,logout,6.228.209.171,Germany,failed
user_841,2025-01-02 04:53:27,permission_change,244.172.160.210,USA,success
user_803,2025-01-28 21:14:17,logout,141.161.156.181,USA,success
user_268,2025-01-08 01:19:22,login,223.185.107.129,USA,failed
user_632,2025-01-30 12:51:24,permission_change,76.10.124.228,USA,failed
user_602,2025-01-29 01:48:45,login,207.191.128.152,Germany,failed
user_342,2025-01-03 11:52:02,logout,241.21.225.171,Japan,success
user_486,2025-01-03 09:17:56,file_access,127.202.21.84,Australia,success
user_86,2025-01-17 10:23:23,login,129.244.52.243,Australia,success
user_881,2025-01-20 10:06:47,file_access,171.47.33.133,Australia,success
user_349,2025-01-04 12:57:15,permission_change,23.112.67.165,Japan,failed
user_147,2025-01-17 04:16:51,database_access,245.113.129.8,Germany,failed
user_141,2025-01-18 21:00:04,file_access,184.112.55.213,Australia,success
user_185,2025-01-14 11:56:41,permission_change,12.2.134.76,USA,success
user_306,2025-01-01 14:20:58,file_access,89.93.121.92,Australia,success
user_507,2025-01-25 18:16:36,logout,69.38.245.242,Japan,success
user_918,2025-01-12 04:21:52,logout,84.132.34.51,Australia,failed
user_555,2025-01-12 20:34:56,logout,246.241.73.67,Germany,failed
user_788,2025-01-27 01:12:07,file_access,25.124.217.102,USA,success
user_959,2025-01-25 23:20:17,logout,228.11.141.181,Japan,failed
user_822,2025-01-21 20:36:39,file_access,96.6.136.118,Japan,success
user_739,2025-01-12 19:03:55,database_access,144.89.185.73,Australia,success
user_251,2025-01-26 08:03:08,database_access,65.23.113.68,Japan,failed
user_522,2025-01-28 13:11:35,permission_change,118.186.253.67,Canada,failed
user_358,2025-01-17 17:36:02,permission_change,123.19.10.190,Canada,success
user_406,2025-01-11 16:10:57,file_access,52.139.139.80,Germany,success
user_631,2025-01-20 07:47:21,permission_change,120.101.220.220,Australia,failed
user_256,2025-01-04 20:06:51,login,169.211.174.169,Australia,success
user_810,2025-01-22 17:26:41,permission_change,241.5.85.173,Germany,success
user_350,2025-01-26 01:28:18,database_access,139.120.64.247,Germany,success
user_988,2025-01-09 02:51:41,login,244.72.244.107,Japan,success
user_504,2025-01-23 15:00:29,database_access,119.159.74.131,Canada,success
user_632,2025-01-26 03:07:34,permission_change,159.225.225.63,Japan,success
user_999,2025-01-22 19:56:41,permission_change,250.113.171.129,USA,success
user_737,2025-01-20 05:10:45,database_access,76.44.214.216,Egypt,success
user_289,2025-01-16 17:19:18,database_access,154.91.191.149,Japan,failed
